,Date,severity_score,energy_score,temperature_score
155,2019-06-05,3,-1.6835520352658782,-1.5427662437311465
169,2019-06-19,3,-1.5384128980703846,-1.164695428399605
175,2019-06-25,1,0.4217735784406907,0.39177792822505375
176,2019-06-26,1,-0.6142418663511953,0.8729589659197436
177,2019-06-27,1,1.409948060415354,1.4212434816602904
178,2019-06-28,1,0.6910406191619514,1.9351579232797889
181,2019-07-01,2,-1.2290628885022612,0.917149061218235
182,2019-07-02,2,1.7247933157124828,0.38359457724385115
183,2019-07-03,1,1.1704199965804751,-0.14504989614181024
184,2019-07-04,2,-1.1899496689016942,-1.0010284087755617
185,2019-07-05,1,-0.8204752060632773,-0.20560669340270668
188,2019-07-08,2,1.5621986920836777,-0.09431312005835715
189,2019-07-09,1,0.4531288040708977,-0.02229963142377653
190,2019-07-10,1,0.14474854374906926,-1.0566751954477356
191,2019-07-11,1,0.25723945631929646,-0.3119902561583353
192,2019-07-12,1,-0.0886377748592739,-1.2170688746792988
197,2019-07-17,1,-1.0111925578346386,-1.1974288323244138
198,2019-07-18,1,-0.9074293884810677,-1.1974288323244138
199,2019-07-19,1,-1.086832999045653,-1.10741197153119
202,2019-07-22,2,1.2696576694513355,0.06608055917320617
203,2019-07-23,1,-0.005239339677899145,0.8647756149385412
204,2019-07-24,1,0.23881422063969024,1.0693593894685958
205,2019-07-25,1,0.25562320757547136,1.3868734075392408
206,2019-07-26,1,0.5756404588528402,0.9547924757317646
