,Date,cmp_score,energy_score,temperature_score
155,2019-06-05,3,1,1
169,2019-06-19,4,1,1
175,2019-06-25,0,1,1
176,2019-06-26,1,1,2
177,2019-06-27,0,1,2
178,2019-06-28,0,1,2
181,2019-07-01,0,1,1
182,2019-07-02,0,1,1
183,2019-07-03,0,1,1
184,2019-07-04,0,1,1
185,2019-07-05,0,1,1
188,2019-07-08,0,1,1
189,2019-07-09,0,1,1
190,2019-07-10,0,1,1
191,2019-07-11,0,1,1
192,2019-07-12,0,1,1
197,2019-07-17,0,1,1
198,2019-07-18,0,1,1
199,2019-07-19,0,1,1
202,2019-07-22,1,1,1
203,2019-07-23,0,1,1
204,2019-07-24,0,1,2
205,2019-07-25,1,2,2
206,2019-07-26,0,1,1
