Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-01,1,1,1,1430.6189988952333,853.2,-1507.7944444444445,-63.8626849797284,-1.4543357595570034
2019-01-02,1,1,1,1193.0708612651636,1143.4,-1217.5944444444444,-51.57125410902657,-1.3029374173618764
2019-01-03,1,1,1,1208.365573822757,1127.6,-1233.3944444444446,-52.240463646439004,-1.5405544339951003
2019-01-06,1,1,1,1469.9787209344217,801.3,-1559.6944444444446,-66.06091124502622,-1.2670473471412331
2019-01-07,1,1,1,275.28138331533466,3056.9,695.9055555555556,29.475103475701147,-1.257971697200381
2019-01-08,1,1,1,318.30501095647446,3097.4,736.4055555555556,31.190482353245685,-1.267459876683999
2019-01-09,1,1,1,276.19239670925776,2938.7,577.7055555555553,24.4687384553119,-1.4539232300142373
2019-01-10,1,1,1,301.39701392017383,2944.9,583.9055555555556,24.731339666195275,-1.5116773660014793
2019-01-13,1,1,1,1451.5276366642115,813.3,-1547.6944444444446,-65.55265083686488,-1.112348768603978
2019-01-14,1,1,1,289.7215214650176,3035.8,674.8055555555557,28.58141225801747,-1.0017908511426863
2019-01-15,1,1,1,280.4419369495286,2993.0,632.0055555555555,26.768616802241986,-1.3375898989542216
2019-01-16,1,1,1,277.8422574051831,2926.1,565.1055555555554,23.935065026742496,-1.2216690974369717
2019-01-17,1,1,1,280.9925265910072,2935.2,574.2055555555553,24.320495836264833,-1.3107754786744306
2019-01-20,1,1,1,1491.3951589032317,762.6,-1598.3944444444446,-67.70005106134656,-1.4275213392772124
2019-01-21,1,1,1,313.4553281712337,2895.3,534.3055555555557,22.630529979128376,-1.4530981709287054
2019-01-22,1,1,1,296.4998482292987,2775.6,414.6055555555554,17.56063240771897,-1.4968263024619028
2019-01-23,1,1,1,285.4952188741585,2955.3,594.3055555555557,25.171832019935113,-1.7356809077234248
2019-01-24,1,1,1,290.19910406478357,2807.7,446.7055555555553,18.92022899955055,-1.704741192015974
2019-01-27,1,1,1,1477.7381094091106,786.8,-1574.1944444444446,-66.6750592382212,-1.6436868196866037
2019-01-28,1,1,1,266.1422176205937,2929.3,568.3055555555557,24.070601135585523,-1.5937707450119163
2019-01-29,1,1,1,273.2784660378552,2848.2,487.2055555555553,20.635607877095087,-1.65234994008469
2019-01-30,1,1,1,270.05362430450015,2892.6,531.6055555555554,22.516171387292072,-1.6519374105419242
2019-01-31,1,1,1,266.4015014972561,2864.0,503.0055555555555,21.30481741450754,-1.89037948626068
2019-02-03,1,1,1,1485.4746850754468,775.6999999999999,-1585.2944444444447,-67.14520011577044,-1.346253019352308
2019-02-04,1,1,1,259.29689546928154,2899.1,538.1055555555554,22.791479108379463,-1.6374988765451137
2019-02-05,1,1,1,282.0978553622887,2933.9,572.9055555555556,24.265434292047374,-1.6585378832261803
2019-02-06,1,1,1,280.54917572504735,2790.0,429.0055555555555,18.170544897512574,-1.6337861106602196
2019-02-07,1,1,1,295.56725123057095,2861.7,500.7055555555553,21.207400836276612,-1.7278428464108708
2019-02-10,1,1,1,1464.5879693620354,808.7,-1552.2944444444445,-65.74748399332672,-1.1531891933378133
2019-02-11,1,1,1,270.566812451198,2969.1,608.1055555555554,25.756331489320637,-1.2686974653122973
2019-02-12,1,1,1,287.8763623502277,2775.8,414.80555555555566,17.56910341452167,-1.387093444086143
2019-02-13,1,1,1,315.0085713119542,2696.6,335.6055555555554,14.214584720656775,-1.2798357629669797
2019-02-14,1,1,1,314.2607834267607,2708.4,347.40555555555557,14.714374122015439,-1.1404007775120668
2019-02-17,1,1,1,1458.5742079167549,812.4,-1548.5944444444444,-65.59077036747698,-0.9287731220731018
2019-02-18,1,1,1,334.1549341248811,2740.6,379.6055555555554,16.07820621724838,-0.9300107107014
2019-02-19,1,1,1,306.4746645320115,2738.4,377.40555555555557,15.985025142418795,-0.9584752491522549
2019-02-20,1,1,1,324.7640374179488,2674.8,313.80555555555566,13.291244979163675,-1.0009657920571542
2019-02-21,1,1,1,287.748501299322,2820.2,459.2055555555553,19.449666924718613,-0.876381870141818
2019-02-24,1,1,1,1519.6193733958519,734.1,-1626.8944444444446,-68.90716953072975,-0.996427967086728
2019-02-25,1,1,1,327.2422955548361,2777.0,416.0055555555555,17.61992945533779,-0.7666490117660584
2019-02-26,1,1,1,276.83236804968516,2804.9,443.90555555555557,18.801634904312927,-0.5463582359290069
2019-02-27,1,1,1,310.72843448901193,2719.0,358.0055555555555,15.16333748255796,-0.47622821365878465
2019-02-28,1,1,1,341.93379476149596,2630.8,269.80555555555566,11.427623482572091,-0.4939669839977231
