"Date","cmp_score","energy_score","temperature_score","vector_ad_cmp","vector_ad_energy","vector_ad_energy_absolute","vector_ad_energy_relative","vector_ad_temperature","Cluster","severity","context","subload"
"2019-01-01",0,1,1,3.66606055596466,25.9,3.93569696969697,17.918606223321,-1.53640022616211,1,1,1,"DIMAT"
"2019-01-02",0,1,1,3.70944739819828,25.9,3.93569696969697,17.918606223321,-1.31609491813006,1,1,1,"DIMAT"
"2019-01-03",0,1,1,3.64417343165767,25.9,3.93569696969697,17.918606223321,-1.54179545819554,1,1,1,"DIMAT"
"2019-01-04",0,1,1,3.35601112707597,26,2.93703703703704,12.7348643006263,-1.82916112727917,3,1,1,"DIMAT"
"2019-01-05",0,1,1,3.20000000000003,26.1,0.072340425531916,0.277936728521211,-1.44629877554934,2,1,1,"DIMAT"
"2019-01-06",0,1,1,3.70944739819826,26,4.03569696969697,18.3738904172335,-1.29766120868248,1,1,1,"DIMAT"
"2019-01-07",0,1,1,2.52982212813485,26.3,-0.618032786885244,-2.29598051157125,-1.01773715544554,4,1,1,"DIMAT"
"2019-01-08",0,1,1,4.01995024844836,33.1,6.18196721311476,22.9658952496955,-1.04803867904196,4,1,1,"DIMAT"
"2019-01-09",0,1,1,2.22710574513194,29.3,2.38196721311476,8.84896467722291,-1.10952003126657,4,1,1,"DIMAT"
"2019-01-10",0,1,1,4.01995024844834,33,6.08196721311475,22.5943970767357,-1.19998544953993,4,1,1,"DIMAT"
"2019-01-11",0,1,1,3.12409987036248,31.6,4.68196721311476,17.3934226552984,-1.3255830690845,4,1,1,"DIMAT"
"2019-01-12",1,1,1,5.16913919332805,33.3,7.27234042553191,27.9408158260443,-1.39352833312101,2,2,1,"DIMAT"
"2019-01-13",0,1,1,2.80570846668003,24,2.03569696969697,9.26820653898475,-1.12995941297645,1,1,1,"DIMAT"
"2019-01-14",0,1,1,3.22490309931948,23.6,-3.31803278688524,-12.326431181486,-0.646653279518418,4,1,1,"DIMAT"
"2019-01-15",0,1,1,2.00000000000021,28.1,1.18196721311476,4.39098660170525,-1.04847783155785,4,1,1,"DIMAT"
"2019-01-16",0,1,1,2.52982212813468,30.5,3.58196721311475,13.3069427527406,-1.09151477811508,4,1,1,"DIMAT"
"2019-01-17",0,1,1,3.79473319220206,32.7,5.78196721311476,21.4799025578563,-1.05594342432798,4,1,1,"DIMAT"
"2019-01-18",3,2,1,6.76461381011507,36.9,9.98196721311475,37.0828258221681,-1.06253071206633,4,5,1,"DIMAT"
"2019-01-19",0,1,1,4.3081318457076,20.9,-5.12765957446808,-19.7008092863566,-1.36876681782771,2,1,1,"DIMAT"
"2019-01-20",0,1,1,2.11660104885161,19.6,-2.36430303030303,-10.7642979931625,-1.4356892282046,1,1,1,"DIMAT"
"2019-01-21",0,1,1,3.80802476772138,22.7,-4.21803278688525,-15.6699147381242,-1.33787933952942,4,1,1,"DIMAT"
"2019-01-22",0,1,1,4.11825205639476,33.1,6.18196721311476,22.9658952496955,-1.29835561309931,4,1,1,"DIMAT"
"2019-01-23",0,1,1,2.36643191323977,27.3,0.381967213114756,1.41900121802681,-1.48236051725726,4,1,1,"DIMAT"
"2019-01-24",0,1,1,2.33238075793834,27,0.0819672131147549,0.304506699147389,-1.58160898584842,4,1,1,"DIMAT"
"2019-01-25",0,1,1,3.8574603043973,32.8,5.88196721311475,21.8514007308161,-1.88989405200326,4,1,1,"DIMAT"
"2019-01-26",1,2,1,5.79655069847579,34.3,8.27234042553191,31.7828823673669,-1.89078827138801,2,3,1,"DIMAT"
"2019-01-27",4,3,1,9.2433760066331,34.1,12.135696969697,55.2519101241408,-1.99544455167378,1,7,1,"DIMAT"
"2019-01-28",0,1,1,2.49799919935952,26.4,-0.518032786885247,-1.92448233861146,-1.33480527191819,4,1,1,"DIMAT"
"2019-01-29",0,1,1,2.33238075793853,29.4,2.48196721311476,9.22046285018272,-1.54867254715666,4,1,1,"DIMAT"
"2019-01-30",0,2,1,4.54312667664025,33.7,6.78196721311476,25.1948842874543,-1.36466764299871,4,2,1,"DIMAT"
"2019-01-31",0,1,1,2.46576560118764,26.6,-0.318032786885244,-1.18148599269183,-1.99133828317387,4,1,1,"DIMAT"
"2019-02-01",0,1,1,3.20000000000045,24,-2.91803278688525,-10.8404384896468,-1.32119154392559,4,1,1,"DIMAT"
"2019-02-02",0,1,1,3.27414110874902,30.5,4.47234042553191,17.1830295103409,-1.50556404166117,2,1,1,"DIMAT"
"2019-02-03",0,1,1,6.6573267908373,30.4,8.43569696969697,38.4063949493807,-1.25944498177896,1,1,1,"DIMAT"
