Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-05,0,1,1,4.595650117230566,47.5,-1.4553191489361694,-2.9727497935590375,-1.4384243465601276
2019-01-12,0,1,1,5.075431016179953,53.0,4.044680851063831,8.261984440870961,-1.4329572638908468
2019-01-19,0,1,1,6.374950980203743,54.699999999999996,5.744680851063826,11.734538658785688,-1.6097262701975918
2019-01-26,0,1,1,4.48998886412873,48.5,-0.4553191489361694,-0.9300708418444992,-1.7937847200633776
2019-02-02,0,1,1,6.170899448216606,51.6,2.644680851063832,5.402233908470611,-1.4232380058121255
2019-02-09,0,1,1,5.768882040742291,52.6,3.644680851063832,7.44491286018516,-1.3855758807570802
2019-02-16,0,1,1,5.366563145999405,43.4,-5.555319148936171,-11.347733495588685,-1.3430541266626743
2019-02-23,0,1,1,6.079473661428263,49.9,0.9446808510638292,1.9296796905558633,-1.1158664690725622
2019-03-02,0,1,1,5.425863986500143,43.2,-5.755319148936167,-11.756269285931587,-1.105539757363921
2019-03-09,0,1,1,3.8157568056677276,46.1,-2.855319148936168,-5.8325003259593995,-0.7034054543568242
2019-03-16,0,1,1,5.513619500836155,43.1,-5.855319148936168,-11.960537181103037,-0.8716701098446878
2019-03-23,0,1,1,5.291502622129158,43.5,-5.455319148936169,-11.143465600417224,-0.4555643733494293
2019-03-30,0,1,1,4.963869458396238,44.4,-4.555319148936171,-9.305054543874135,-0.6803222164198609
2019-04-06,0,1,1,4.381780460041299,44.8,-4.155319148936172,-8.487982963188323,-0.8832117288131694
2019-04-13,0,1,1,4.833218389437827,43.8,-5.155319148936172,-10.530661914902872,-0.8060651178133186
2019-05-11,0,1,1,4.252058325093552,45.1,-3.855319148936168,-7.875179277673949,-0.4118277119951832
2019-05-25,0,1,1,5.153639490690181,48.2,-0.7553191489361666,-1.5428745273588507,0.00974510716935615
2019-06-01,0,1,1,6.0266076693277055,42.5,-6.455319148936169,-13.186144552131774,0.8668621789865971
2019-06-08,0,1,1,3.919183588453115,46.8,-2.1553191489361723,-4.402625059759224,0.8462087555693137
2019-06-15,0,1,1,4.195235392680588,45.199999999999996,-3.7553191489361737,-7.67091138250251,0.8480311164590741
2019-06-22,2,1,1,7.999999999999997,40.6,-8.355319148936168,-17.06723456038941,0.9446162436163674
2019-06-24,0,1,1,3.8574603043966387,45.5,-3.4553191489361694,-7.058107696988136,1.4299716939225162
2019-06-29,0,1,2,3.979949748426548,49.6,0.644680851063832,1.3168760050415118,1.5818351014025374
2019-07-06,0,1,1,3.7309516212354725,45.9,-3.055319148936171,-6.241036116302324,1.3850201253084296
2019-07-13,0,1,1,4.195235392680333,49.5,0.5446808510638306,1.1126081098700613,1.2641368529543326
2019-07-20,0,1,1,5.4552726787943575,51.3,2.3446808510638277,4.789430222956237,1.2932946271904968
2019-07-27,0,1,1,4.630334761116013,54.199999999999996,5.244680851063826,10.713199182928413,0.9276075419786053
2019-08-03,0,1,1,4.8166378315168705,51.199999999999996,2.2446808510638263,4.585162327784764,1.2835753691117755
2019-08-10,0,1,1,4.963869458396243,51.6,2.644680851063832,5.402233908470611,1.4123555386548334
2019-08-24,0,1,1,4.507771067833662,50.0,1.0446808510638306,2.133947585727336,1.2629219456944925
2019-08-31,0,1,1,4.7159304490206635,51.3,2.3446808510638277,4.789430222956237,1.2355865323480888
2019-09-07,2,1,1,7.8689262291623105,57.9,8.94468085106383,18.271111304272235,0.5935080455225586
2019-09-14,0,1,1,4.947726750741191,53.5,4.544680851063831,9.283323916728236,1.0405939171437413
2019-09-21,0,1,1,4.931531202375117,53.0,4.044680851063831,8.261984440870961,0.5607055495068737
2019-09-28,0,1,1,4.507771067833856,44.4,-4.555319148936171,-9.305054543874135,0.766632330049783
2019-10-05,0,1,1,3.919183588453054,47.0,-1.9553191489361694,-3.994089269416312,0.4149166783260531
2019-10-12,0,1,1,4.059556626036803,48.8,-0.15531914893617227,-0.3172671563301366,0.26305327084603175
2019-10-19,0,1,1,4.381780460041446,45.3,-3.6553191489361723,-7.466643487331048,0.4058048738772518
2019-10-26,0,1,1,5.810335618533382,42.4,-6.555319148936171,-13.390412447303234,0.45197134975117853
2019-11-02,0,1,1,4.664761515876631,50.5,1.5446808510638306,3.1552870615845885,-0.1409033930508251
2019-11-09,0,1,1,4.647580015449027,51.0,2.0446808510638306,4.176626537441863,-0.4804699721761527
2019-11-16,0,1,1,5.059644256269202,51.800000000000004,2.844680851063835,5.810769698813512,-0.503553210113116
2019-11-23,0,1,1,4.489988864128493,51.2,2.2446808510638334,4.585162327784786,-0.1664164455074685
2019-11-30,0,1,1,3.8366652186502574,48.5,-0.4553191489361694,-0.9300708418444992,-0.5400004279083211
2019-12-07,2,1,1,7.929691040639505,57.9,8.94468085106383,18.271111304272235,-0.7623284564590724
2019-12-14,4,3,1,11.164228589562207,60.9,11.94468085106383,24.399148159415883,-0.503553210113116
2019-12-21,2,1,1,7.8892331693261495,58.2,9.244680851063833,18.88391498978661,-0.5314960770894399
