"Date","cmp_score","energy_score","temperature_score","vector_ad_cmp","vector_ad_energy","vector_ad_energy_absolute","vector_ad_energy_relative","vector_ad_temperature","Cluster","severity","context","subload"
"2019-01-01",0,0,1,3.01993377410828,22.4,-3.90266666666667,-14.837532316115,-1.53640022616211,1,0,1,"Refrigeration_unit2"
"2019-01-02",0,0,1,3.1240998703623,18,-8.30266666666667,-31.5658741825924,-1.31609491813006,1,0,1,"Refrigeration_unit2"
"2019-01-03",0,0,1,2.91204395571349,20.4,-5.90266666666667,-22.4413240736047,-1.54179545819554,1,0,1,"Refrigeration_unit2"
"2019-01-04",0,0,1,3.57322257877703,38.1,-14.85,-28.0453257790368,-1.82916112727917,3,0,1,"Refrigeration_unit2"
"2019-01-05",0,0,1,3.41760149812425,38.8,-30.036170212766,-43.6342843013013,-1.44629877554934,2,0,1,"Refrigeration_unit2"
"2019-01-06",0,0,1,2.912043955714,18,-8.30266666666667,-31.5658741825924,-1.29766120868248,1,0,1,"Refrigeration_unit2"
"2019-01-07",3,0,1,41.260150266329,78,28.4437158469945,57.3967889908257,-1.01773715544554,4,3,1,"Refrigeration_unit2"
"2019-01-08",0,0,1,3.27414110874668,41,-8.55628415300546,-17.2657904022583,-1.04803867904196,4,0,1,"Refrigeration_unit2"
"2019-01-09",0,0,1,3.37045990927168,39.3,-10.2562841530055,-20.6962332392378,-1.10952003126657,4,0,1,"Refrigeration_unit2"
"2019-01-10",0,0,1,3.41760149812708,40.2,-9.35628415300546,-18.8801164431898,-1.19998544953993,4,0,1,"Refrigeration_unit2"
"2019-01-11",0,0,1,3.48711915483259,34.3,-15.2562841530055,-30.78577099506,-1.3255830690845,4,0,1,"Refrigeration_unit2"
"2019-01-12",0,0,1,3.60000000000004,39.1,-29.736170212766,-43.1984669118783,-1.39352833312101,2,0,1,"Refrigeration_unit2"
"2019-01-13",0,0,1,3.20000000000439,17.8,-8.50266666666667,-32.3262533583414,-1.12995941297645,1,0,1,"Refrigeration_unit2"
"2019-01-14",0,0,1,2.65329983228187,31.1,-18.4562841530055,-37.2430751587862,-0.646653279518418,4,0,1,"Refrigeration_unit2"
"2019-01-15",0,0,1,3.34664010613815,35.6,-13.9562841530055,-28.1624911785462,-1.04847783155785,4,0,1,"Refrigeration_unit2"
"2019-01-16",0,0,1,3.3704599092643,39.3,-10.2562841530055,-20.6962332392378,-1.09151477811508,4,0,1,"Refrigeration_unit2"
"2019-01-17",0,0,1,3.44093010681096,39.3,-10.2562841530055,-20.6962332392378,-1.05594342432798,4,0,1,"Refrigeration_unit2"
"2019-01-18",0,0,1,3.44093010681097,39.2,-10.3562841530055,-20.8980239943543,-1.06253071206633,4,0,1,"Refrigeration_unit2"
"2019-01-19",0,0,1,3.48711915483296,38.4,-30.436170212766,-44.2153741538652,-1.36876681782771,2,0,1,"Refrigeration_unit2"
"2019-01-20",0,0,1,3.14960314962473,17.7,-8.60266666666667,-32.7064429462159,-1.4356892282046,1,0,1,"Refrigeration_unit2"
