Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-04,0,0,1,16.40486572636531,13.899999999999999,-29.522222222222226,-67.98874104401229,-2.116157730363047
2019-04-17,0,0,1,12.591200044725863,24.1,-19.322222222222223,-44.49846468781986,-0.5550782431953816
2019-04-18,0,0,1,12.363467388182913,23.6,-19.822222222222223,-45.649948822927335,-0.6157511999440106
2019-04-19,0,0,1,12.48261262595858,23.8,-19.622222222222224,-45.18935516888434,-0.4765602991677441
2019-04-23,0,0,1,22.485540782988636,15.9,-27.522222222222226,-63.3828045035824,-0.7535145017379564
2019-04-24,0,0,1,11.943234610820335,23.4,-20.022222222222226,-46.110542476970316,-1.0618758819192238
2019-04-26,0,0,1,12.671217418689082,16.900000000000002,-26.522222222222222,-61.079836233367445,-1.1268316356148147
2019-04-29,0,0,1,13.364230483699686,24.8,-18.622222222222224,-42.88638689866939,-1.0361791002374516
2019-04-30,0,0,1,12.522502684160816,23.7,-19.722222222222225,-45.41965199590584,-0.616464999435171
2019-05-02,0,0,1,12.250553965813772,23.7,-19.722222222222225,-45.41965199590584,-0.6021890096119641
2019-05-03,0,0,1,11.698944754281374,23.3,-20.122222222222224,-46.34083930399181,-0.6364513851876605
2019-05-06,0,0,1,9.541189938553515,23.3,-20.122222222222224,-46.34083930399181,-0.9312505750368814
2019-05-07,0,0,1,8.079603950697898,18.2,-25.222222222222225,-58.08597748208803,-0.5400884538810145
2019-05-09,0,0,1,6.864101615149805,17.5,-25.922222222222224,-59.69805527123848,-0.5322366594782507
2019-05-10,0,0,1,6.97995017401608,17.6,-25.822222222222223,-59.46775844421699,-0.14892633272514766
2019-05-14,0,0,1,7.0028542305044805,16.900000000000002,-26.522222222222222,-61.079836233367445,-0.7528007022467962
2019-05-15,0,0,1,11.753789052835426,22.7,-20.722222222222225,-47.722620266120785,-0.5814888243683142
2019-05-16,0,0,1,7.138625119933391,17.1,-26.322222222222223,-60.619242579324464,-0.6514411745020278
2019-05-17,0,0,1,22.48197477126461,15.5,-27.922222222222224,-64.30399181166837,-0.7813526818932097
2019-05-21,0,0,1,7.8331808525100275,16.8,-26.622222222222224,-61.31013306038895,-0.19746469812405087
2019-05-29,0,0,1,12.696060377704866,33.0,-10.422222222222224,-24.002047082906863,-0.45014971799481157
2019-05-31,0,0,1,9.80454310911652,22.1,-21.322222222222223,-49.10440122824974,0.48492761542523516
2019-08-02,3,3,1,116.58506756819791,115.6,72.17777777777778,166.22313203684746,1.314362624153551
2019-08-07,3,3,1,108.90912934920281,111.0,67.57777777777778,155.62947799385873,1.1787407208330867
2019-08-08,3,3,2,115.58857130997743,114.8,71.37777777777777,164.38075742067554,1.5577682506392276
2019-08-09,3,3,2,98.54169602052036,104.1,60.67777777777777,139.73899692937565,1.7098075422563803
2019-08-19,3,3,1,144.09046445681292,122.2,78.77777777777777,181.42272262026614,1.2693932562104502
2019-08-20,2,2,1,80.30770838585181,82.8,39.37777777777777,90.68577277379732,1.0902295839292044
2019-08-21,0,0,1,26.627795482751836,35.0,-8.422222222222224,-19.396110542476976,1.306510829750788
2019-08-22,0,0,1,27.257189851072773,33.7,-9.722222222222221,-22.389969293756394,1.275817451630893
2019-08-23,0,0,1,22.130436584639703,31.9,-11.522222222222226,-26.5353121801433,1.1908753121828128
2019-08-26,4,3,1,157.97261403475233,128.9,85.47777777777779,196.85261003070624,1.4028737610574338
2019-08-27,3,3,1,122.6595139413931,103.2,59.77777777777778,137.66632548618222,1.347197400746927
2019-08-28,2,2,1,79.63459122432732,85.4,41.97777777777778,96.67349027635619,1.0816639900352802
2019-12-23,0,0,1,15.633166930573465,18.400000000000002,-25.022222222222222,-57.62538382804503,-0.6236029943467742
2019-12-24,0,0,1,16.78331676606058,18.400000000000002,-25.022222222222222,-57.62538382804503,-0.42231153783955816
