"","CET","1086","1085","1047","1046","1045","1022","294","1226","ToU","Holiday","Year","Month","Month_day","Week_day","Hour","Time"
"1","2015-01-01 00:00:00.0",0.8,6.8,16.8,1.6,35.2,4,5.2,136.8,"F3","Yes",2015,1,1,4,0,"00:00"
"2","2015-01-01 00:15:00.0",0.4,6.8,18.8,1.2,34.4,4.4,5.2,138.8,"F3","Yes",2015,1,1,4,0,"00:15"
"3","2015-01-01 00:30:00.0",0.4,6.4,18,1.2,35.2,4,5.2,140.8,"F3","Yes",2015,1,1,4,0,"00:30"
"4","2015-01-01 00:45:00.0",0.8,6.8,17.6,1.2,34.4,4,5.2,139.2,"F3","Yes",2015,1,1,4,0,"00:45"
"5","2015-01-01 01:00:00.0",0.4,6.8,16.8,0.8,34.8,4.4,5.2,140.4,"F3","Yes",2015,1,1,4,1,"01:00"
"6","2015-01-01 01:15:00.0",0.4,6.8,18.8,0.8,35.2,4,4.8,144,"F3","Yes",2015,1,1,4,1,"01:15"
"7","2015-01-01 01:30:00.0",0.8,6.8,16.8,1.2,34.4,4.4,5.2,140.4,"F3","Yes",2015,1,1,4,1,"01:30"
"8","2015-01-01 01:45:00.0",0.4,7.2,18.8,1.6,35.2,4,5.2,142.8,"F3","Yes",2015,1,1,4,1,"01:45"
"9","2015-01-01 02:00:00.0",0.8,6.8,20,0.8,34.4,4.4,4.8,141.2,"F3","Yes",2015,1,1,4,2,"02:00"
"10","2015-01-01 02:15:00.0",0.4,6.8,19.2,1.6,35.6,4.4,5.6,145.2,"F3","Yes",2015,1,1,4,2,"02:15"
"11","2015-01-01 02:30:00.0",0.4,6.8,16,1.2,34.4,4,5.2,140.8,"F3","Yes",2015,1,1,4,2,"02:30"
"12","2015-01-01 02:45:00.0",0.8,6.8,16.4,1.2,34.4,4,5.6,141.2,"F3","Yes",2015,1,1,4,2,"02:45"
"13","2015-01-01 03:00:00.0",0.4,7.2,16,1.2,35.2,4.4,4.8,142,"F3","Yes",2015,1,1,4,3,"03:00"
"14","2015-01-01 03:15:00.0",0.4,6.8,15.2,0.8,34.4,4.4,5.2,144,"F3","Yes",2015,1,1,4,3,"03:15"
"15","2015-01-01 03:30:00.0",0.8,6.8,19.6,1.2,35.2,4,5.2,143.6,"F3","Yes",2015,1,1,4,3,"03:30"
"16","2015-01-01 03:45:00.0",0.4,6.8,16,1.6,34.4,4.4,4.8,137.6,"F3","Yes",2015,1,1,4,3,"03:45"
"17","2015-01-01 04:00:00.0",0.4,7.2,17.6,0.8,35.2,4,5.2,137.6,"F3","Yes",2015,1,1,4,4,"04:00"
"18","2015-01-01 04:15:00.0",0.8,6.8,16,1.2,34.4,4.4,5.2,137.2,"F3","Yes",2015,1,1,4,4,"04:15"
"19","2015-01-01 04:30:00.0",0.4,6.8,21.2,1.2,35.2,4,5.2,144.8,"F3","Yes",2015,1,1,4,4,"04:30"
"20","2015-01-01 04:45:00.0",0.4,6.4,16.8,0.8,34.8,4.4,4.4,139.2,"F3","Yes",2015,1,1,4,4,"04:45"
"21","2015-01-01 05:00:00.0",0.8,6.8,17.6,0.8,34.4,7.6,5.2,148,"F3","Yes",2015,1,1,4,5,"05:00"
"22","2015-01-01 05:15:00.0",0.4,6.8,16.4,1.6,35.2,13.6,5.2,157.6,"F3","Yes",2015,1,1,4,5,"05:15"
"23","2015-01-01 05:30:00.0",0.8,6.4,16.4,1.2,34.4,12.8,4.8,158,"F3","Yes",2015,1,1,4,5,"05:30"
"24","2015-01-01 05:45:00.0",0.4,6.8,17.6,1.2,34.8,13.2,5.2,157.2,"F3","Yes",2015,1,1,4,5,"05:45"
"25","2015-01-01 06:00:00.0",0.4,6.8,16.4,1.2,34.8,18.4,4.8,160.4,"F3","Yes",2015,1,1,4,6,"06:00"
"26","2015-01-01 06:15:00.0",0.8,6.8,17.2,0.8,35.2,25.6,5.2,171.2,"F3","Yes",2015,1,1,4,6,"06:15"
"27","2015-01-01 06:30:00.0",0.4,6.8,17.2,0.8,34.4,25.2,4.8,167.6,"F3","Yes",2015,1,1,4,6,"06:30"
"28","2015-01-01 06:45:00.0",0.4,6.8,17.2,2,35.2,25.6,5.2,172,"F3","Yes",2015,1,1,4,6,"06:45"
"29","2015-01-01 07:00:00.0",0.8,6.8,16.8,1.2,34.4,25.2,4.8,170.4,"F3","Yes",2015,1,1,4,7,"07:00"
